Tweet_ID,Author_ID,Created_At,Text,Cleaned_Text,Roberta_Label,Roberta_Score
Tweet_ID,Author_ID,Created_At,Text,Text,LABEL_1,0.6372178792953491
1916903888998875595,1596595159361257475,2025-04-28 17:14:36+00:00,24-Story Live Local Development With Micro Units Proposed Near Metrorail https://t.co/jiZICygGeQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,24-Story Live Local Development With Micro Units Proposed Near Metrorail https://t.co/jiZICygGeQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.9152897000312805
1916858531447243087,1596595159361257475,2025-04-28 14:14:22+00:00,What did that sign say? Take a look at old highway billboards in Miami https://t.co/YEHWzzbFcQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,What did that sign say? Take a look at old highway billboards in Miami https://t.co/YEHWzzbFcQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.8408927917480469
1916849681839046968,1596595159361257475,2025-04-28 13:39:12+00:00,Bright Click Digital Marketing Relocates to Orlando to Expand Nationwide Reach https://t.co/aRqBHiMEco #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Bright Click Digital Marketing Relocates to Orlando to Expand Nationwide Reach https://t.co/aRqBHiMEco #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.5787140130996704
1916825937238266271,1596595159361257475,2025-04-28 12:04:50+00:00,How much it costs to park at Miami International Airport https://t.co/T4WaGdpdBl #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,How much it costs to park at Miami International Airport https://t.co/T4WaGdpdBl #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.7492104172706604
1916770409233502385,1596595159361257475,2025-04-28 08:24:12+00:00,This jet ski-street bike hybrid spotted in Miami looks like a glitch in GTA https://t.co/Lb8NyaJp3o #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,This jet ski-street bike hybrid spotted in Miami looks like a glitch in GTA https://t.co/Lb8NyaJp3o #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.646415650844574
1916494835705323531,15840102,2025-04-27 14:09:10+00:00,"“Miami-Dade bus ridership plunged 18.5% in December from December 2023, when the county removed fares from all of its transit systems to get more passengers aboard the new configuration of buses called the Better Bus Network.” https://t.co/W0R0XlDWn7 https://t.co/uJPtAAqDDf","“Miami-Dade bus ridership plunged 18.5% in December from December 2023, when the county removed fares from all of its transit systems to get more passengers aboard the new configuration of buses called the Better Bus Network.” https://t.co/W0R0XlDWn7 https://t.co/uJPtAAqDDf",LABEL_1,0.630882978439331
1916126304321126616,1596595159361257475,2025-04-26 13:44:45+00:00,Broward Metropolitan Planning Organization’s State of the Region &amp; Annual Awards 5/22/25 https://t.co/UuW9HzTJN1 #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Broward Metropolitan Planning Organization’s State of the Region &amp; Annual Awards 5/22/25 https://t.co/UuW9HzTJN1 #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.9119462966918945
1915869630431715344,1596595159361257475,2025-04-25 20:44:49+00:00,Happy Tails https://t.co/KiiWS82O9C #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Happy Tails https://t.co/KiiWS82O9C #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_2,0.6688855290412903
1915812946245976133,1596595159361257475,2025-04-25 16:59:35+00:00,Miami International Airport Salutes Eva Trivelli as Volunteer of the Year at National Volunteer Week Gala https://t.co/1lZqvAcjXG #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Miami International Airport Salutes Eva Trivelli as Volunteer of the Year at National Volunteer Week Gala https://t.co/1lZqvAcjXG #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_2,0.9196313619613647
1915785197825495493,1596595159361257475,2025-04-25 15:09:19+00:00,Sounder train available for Mariners vs. Miami Marlins game April 27 https://t.co/qMFuvSxHmo #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Sounder train available for Mariners vs. Miami Marlins game April 27 https://t.co/qMFuvSxHmo #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.9292450547218323
1915571403027366034,1596595159361257475,2025-04-25 00:59:46+00:00,Port Of Miami[Fruit Punch 2 LP] - down 4.64% ($1.48) to $30.39 from $31.87 https://t.co/p0XGlg52Pq #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Port Of Miami[Fruit Punch 2 LP] - down 4.64% ($1.48) to $30.39 from $31.87 https://t.co/p0XGlg52Pq #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.7399016618728638
1915456914726506827,1596595159361257475,2025-04-24 17:24:50+00:00,Live Local Tower Planned Near Metrorail With ‘Dramatic’ Nighttime Lighting https://t.co/CbypTvpRUs #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Live Local Tower Planned Near Metrorail With ‘Dramatic’ Nighttime Lighting https://t.co/CbypTvpRUs #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.9098522067070007
1915445516197876200,1596595159361257475,2025-04-24 16:39:32+00:00,Police: Suspects flee after traffic stop involving stolen vehicle in North Miami https://t.co/kbfGFT3ueK #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Police: Suspects flee after traffic stop involving stolen vehicle in North Miami https://t.co/kbfGFT3ueK #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.6096273064613342
1915428178962632770,1522464770,2025-04-24 15:30:39+00:00,"@davidsm94346357 Hi Dave! Thanks for your feedback. Currently, all bus stop plaques are being changed in preparation for our launch of our Better Bus Network. As we make these adjustments each new stop will have the old route name/number on top. We apologize for any confusion this may cause. - MI","@davidsm94346357 Hi Dave! Thanks for your feedback. Currently, all bus stop plaques are being changed in preparation for our launch of our Better Bus Network. As we make these adjustments each new stop will have the old route name/number on top. We apologize for any confusion this may cause. - MI",LABEL_1,0.5647944211959839
1915424653943656742,3199678817,2025-04-24 15:16:39+00:00,@Colin_d_m I can confirm the Miami transit sucks,@Colin_d_m I can confirm the Miami transit sucks,LABEL_0,0.935840368270874
1915419087095603343,1596595159361257475,2025-04-24 14:54:31+00:00,"Ultimate Party in Miami : Boat Party, Party Bus &amp; Nightclub https://t.co/f0XCyGxCPQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews","Ultimate Party in Miami : Boat Party, Party Bus &amp; Nightclub https://t.co/f0XCyGxCPQ #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews",LABEL_1,0.6217125058174133
1915264293559325015,1596595159361257475,2025-04-24 04:39:26+00:00,"Thu, 4/24: 'No-Sew' T-Shirt Tote Workshop (Miami Metro Area) https://t.co/3T8z6H5Qbt #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews","Thu, 4/24: 'No-Sew' T-Shirt Tote Workshop (Miami Metro Area) https://t.co/3T8z6H5Qbt #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews",LABEL_1,0.9019351005554199
1915264287154618563,1596595159361257475,2025-04-24 04:39:24+00:00,"Thu, 4/24: The Art and Science of Bonsai: Cultivating Miniature Trees for Growth (Miami Metro Area) https://t.co/XFYgReO8Jr #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews","Thu, 4/24: The Art and Science of Bonsai: Cultivating Miniature Trees for Growth (Miami Metro Area) https://t.co/XFYgReO8Jr #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews",LABEL_1,0.851405680179596
1915164985711329624,1596595159361257475,2025-04-23 22:04:49+00:00,The law that helped Miami schools make millions off bus camera tickets may change https://t.co/fOzZ94VHNb #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,The law that helped Miami schools make millions off bus camera tickets may change https://t.co/fOzZ94VHNb #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.7486746907234192
1915129991123132628,924676669931249664,2025-04-23 19:45:45+00:00,@Bubblebathgirl that's like Miami transit buses...,@Bubblebathgirl that's like Miami transit buses...,LABEL_1,0.6708080768585205
1915099372372517369,1596595159361257475,2025-04-23 17:44:05+00:00,Chicago to miami by train - 23 Apr 2025 - Woman's Weekly - UK Magazine - Readly | All magazines https://t.co/fBAUwZzQWx #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Chicago to miami by train - 23 Apr 2025 - Woman's Weekly - UK Magazine - Readly | All magazines https://t.co/fBAUwZzQWx #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.9014846682548523
1915064415319138357,1596595159361257475,2025-04-23 15:25:11+00:00,Getting U.S. Citizenship For Investor Immigrants: Gold Card Vs. EB-5 https://t.co/NMnrU1MDgn #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Getting U.S. Citizenship For Investor Immigrants: Gold Card Vs. EB-5 https://t.co/NMnrU1MDgn #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.8991711735725403
1915061640493470126,1596595159361257475,2025-04-23 15:14:09+00:00,JLL Arranges $51.5M Refinancing for Dadeland Centre Office Buildings in Metro Miami https://t.co/RqZTsGPP5u #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,JLL Arranges $51.5M Refinancing for Dadeland Centre Office Buildings in Metro Miami https://t.co/RqZTsGPP5u #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.9213836193084717
1914991214467682686,1596595159361257475,2025-04-23 10:34:19+00:00,Condos on a cruise ship? Why a Miami developer is planning luxury homes at sea https://t.co/MVFFgaTDmB #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Condos on a cruise ship? Why a Miami developer is planning luxury homes at sea https://t.co/MVFFgaTDmB #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.7454179525375366
1914972353475326245,1596595159361257475,2025-04-23 09:19:22+00:00,How your downtown Miami commute could change with a major event shutting roads https://t.co/flo1YyZwMf #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,How your downtown Miami commute could change with a major event shutting roads https://t.co/flo1YyZwMf #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.7607542276382446
1914715876252700998,1596595159361257475,2025-04-22 16:20:13+00:00,Transport Experts Prepare for Trump-Era Regulatory Shift https://t.co/tBbAzjYEkt #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Transport Experts Prepare for Trump-Era Regulatory Shift https://t.co/tBbAzjYEkt #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.8752080202102661
1914670380221874456,1596595159361257475,2025-04-22 13:19:26+00:00,Israeli expats protest Ben Gvir’s arrival at Miami airport https://t.co/h0Xf4Bdzny #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Israeli expats protest Ben Gvir’s arrival at Miami airport https://t.co/h0Xf4Bdzny #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_0,0.7284518480300903
1914661492344959306,1596595159361257475,2025-04-22 12:44:07+00:00,Alesso Will Headline Free Miami Concert For Opening Of New Shopping Development https://t.co/2fF9ClpNl3 #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Alesso Will Headline Free Miami Concert For Opening Of New Shopping Development https://t.co/2fF9ClpNl3 #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.8654724955558777
1914538267392815313,1596595159361257475,2025-04-22 04:34:28+00:00,"Tue, 4/22: Fighting Climate Change with Butterflies (Miami Metro Area) https://t.co/Yj1q6yme7e #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews","Tue, 4/22: Fighting Climate Change with Butterflies (Miami Metro Area) https://t.co/Yj1q6yme7e #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews",LABEL_1,0.7890457510948181
1914427523359813643,1596595159361257475,2025-04-21 21:14:24+00:00,"WASD launches new, AI-enhanced telephone system https://t.co/AFUTSnfMbv #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews","WASD launches new, AI-enhanced telephone system https://t.co/AFUTSnfMbv #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews",LABEL_1,0.7427747845649719
1914402476838494396,1596595159361257475,2025-04-21 19:34:53+00:00,Stream Realty Partners Awarded Leasing Assignment For Miami Airport West Industrial Park https://t.co/uYEdKdTx6w #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,Stream Realty Partners Awarded Leasing Assignment For Miami Airport West Industrial Park https://t.co/uYEdKdTx6w #Miami #Transit #FDOT #MiamiDade #Transportation #MiamiNews,LABEL_1,0.9042510986328125
